nation_id,nation_name,nation_flag_big_pic,nation_flag_small_pic
0,Afghanistan,https://tmssl.akamaized.net//images/flagge/head/1.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/1.png?lm=1520611569
1,Albania,https://tmssl.akamaized.net//images/flagge/head/3.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/3.png?lm=1520611569
2,Algeria,https://tmssl.akamaized.net//images/flagge/head/4.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/4.png?lm=1520611569
3,Andorra,https://tmssl.akamaized.net//images/flagge/head/5.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/5.png?lm=1520611569
4,Angola,https://tmssl.akamaized.net//images/flagge/head/6.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/6.png?lm=1520611569
5,Antigua and Barbuda,https://tmssl.akamaized.net//images/flagge/head/7.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/7.png?lm=1520611569
6,Argentina,https://tmssl.akamaized.net//images/flagge/head/9.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/9.png?lm=1520611569
7,Armenia,https://tmssl.akamaized.net//images/flagge/head/10.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/10.png?lm=1520611569
8,Australia,https://tmssl.akamaized.net//images/flagge/head/12.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/12.png?lm=1520611569
9,Austria,https://tmssl.akamaized.net//images/flagge/head/127.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/127.png?lm=1520611569
10,Bangladesh,https://tmssl.akamaized.net//images/flagge/head/16.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/16.png?lm=1520611569
11,Belarus,https://tmssl.akamaized.net//images/flagge/head/18.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/18.png?lm=1520611569
12,Belgium,https://tmssl.akamaized.net//images/flagge/head/19.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/19.png?lm=1520611569
13,Benin,https://tmssl.akamaized.net//images/flagge/head/21.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/21.png?lm=1520611569
14,Bermuda,https://tmssl.akamaized.net//images/flagge/head/211.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/211.png?lm=1520611569
15,Bonaire,https://tmssl.akamaized.net//images/flagge/head/269.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/269.png?lm=1520611569
16,Bosnia-Herzegovina,https://tmssl.akamaized.net//images/flagge/head/24.png?lm=1569523290,https://tmssl.akamaized.net//images/flagge/small/24.png?lm=1569523290
17,Brazil,https://tmssl.akamaized.net//images/flagge/head/26.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/26.png?lm=1520611569
18,Bulgaria,https://tmssl.akamaized.net//images/flagge/head/28.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/28.png?lm=1520611569
19,Burkina Faso,https://tmssl.akamaized.net//images/flagge/head/29.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/29.png?lm=1520611569
20,Burundi,https://tmssl.akamaized.net//images/flagge/head/30.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/30.png?lm=1520611569
21,Cameroon,https://tmssl.akamaized.net//images/flagge/head/31.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/31.png?lm=1520611569
22,Canada,https://tmssl.akamaized.net//images/flagge/head/80.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/80.png?lm=1520611569
23,Cape Verde,https://tmssl.akamaized.net//images/flagge/head/32.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/32.png?lm=1520611569
24,Central African Republic,https://tmssl.akamaized.net//images/flagge/head/138.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/138.png?lm=1520611569
25,Chile,https://tmssl.akamaized.net//images/flagge/head/33.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/33.png?lm=1520611569
26,Colombia,https://tmssl.akamaized.net//images/flagge/head/83.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/83.png?lm=1520611569
27,Comoros,https://tmssl.akamaized.net//images/flagge/head/35.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/35.png?lm=1520611569
28,Congo,https://tmssl.akamaized.net//images/flagge/head/85.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/85.png?lm=1520611569
29,Costa Rica,https://tmssl.akamaized.net//images/flagge/head/36.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/36.png?lm=1520611569
30,Cote d'Ivoire,https://tmssl.akamaized.net//images/flagge/head/38.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/38.png?lm=1520611569
31,Croatia,https://tmssl.akamaized.net//images/flagge/head/37.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/37.png?lm=1520611569
32,Cuba,https://tmssl.akamaized.net//images/flagge/head/88.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/88.png?lm=1520611569
33,Curacao,https://tmssl.akamaized.net//images/flagge/head/260.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/260.png?lm=1520611569
34,Cyprus,https://tmssl.akamaized.net//images/flagge/head/188.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/188.png?lm=1520611569
35,Czech Republic,https://tmssl.akamaized.net//images/flagge/head/172.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/172.png?lm=1520611569
36,DR Congo,https://tmssl.akamaized.net//images/flagge/head/193.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/193.png?lm=1520611569
37,Denmark,https://tmssl.akamaized.net//images/flagge/head/39.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/39.png?lm=1520611569
38,Dominican Republic,https://tmssl.akamaized.net//images/flagge/head/43.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/43.png?lm=1520611569
39,Ecuador,https://tmssl.akamaized.net//images/flagge/head/44.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/44.png?lm=1520611569
40,Egypt,https://tmssl.akamaized.net//images/flagge/head/2.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/2.png?lm=1520611569
41,England,https://tmssl.akamaized.net//images/flagge/head/189.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/189.png?lm=1520611569
42,Equatorial Guinea,https://tmssl.akamaized.net//images/flagge/head/8.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/8.png?lm=1520611569
43,Estonia,https://tmssl.akamaized.net//images/flagge/head/47.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/47.png?lm=1520611569
44,Finland,https://tmssl.akamaized.net//images/flagge/head/49.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/49.png?lm=1520611569
45,France,https://tmssl.akamaized.net//images/flagge/head/50.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/50.png?lm=1520611569
46,French Guiana,https://tmssl.akamaized.net//images/flagge/head/252.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/252.png?lm=1520611569
47,Gabon,https://tmssl.akamaized.net//images/flagge/head/51.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/51.png?lm=1520611569
48,Georgia,https://tmssl.akamaized.net//images/flagge/head/53.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/53.png?lm=1520611569
49,Germany,https://tmssl.akamaized.net//images/flagge/head/40.png?lm=1520612525,https://tmssl.akamaized.net//images/flagge/small/40.png?lm=1520612525
50,Ghana,https://tmssl.akamaized.net//images/flagge/head/54.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/54.png?lm=1520611569
51,Greece,https://tmssl.akamaized.net//images/flagge/head/56.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/56.png?lm=1520611569
52,Grenada,https://tmssl.akamaized.net//images/flagge/head/55.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/55.png?lm=1520611569
53,Guadeloupe,https://tmssl.akamaized.net//images/flagge/head/251.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/251.png?lm=1520611569
54,Guatemala,https://tmssl.akamaized.net//images/flagge/head/58.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/58.png?lm=1520611569
55,Guinea,https://tmssl.akamaized.net//images/flagge/head/59.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/59.png?lm=1520611569
56,Guinea-Bissau,https://tmssl.akamaized.net//images/flagge/head/60.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/60.png?lm=1520611569
57,Guyana,https://tmssl.akamaized.net//images/flagge/head/61.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/61.png?lm=1520611569
58,Haiti,https://tmssl.akamaized.net//images/flagge/head/62.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/62.png?lm=1520611569
59,Honduras,https://tmssl.akamaized.net//images/flagge/head/66.png?lm=1699286249,https://tmssl.akamaized.net//images/flagge/small/66.png?lm=1699286249
60,Hungary,https://tmssl.akamaized.net//images/flagge/head/178.png?lm=1521635893,https://tmssl.akamaized.net//images/flagge/small/178.png?lm=1521635893
61,Iceland,https://tmssl.akamaized.net//images/flagge/head/73.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/73.png?lm=1520611569
62,Indonesia,https://tmssl.akamaized.net//images/flagge/head/68.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/68.png?lm=1520611569
63,Iran,https://tmssl.akamaized.net//images/flagge/head/71.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/71.png?lm=1520611569
64,Iraq,https://tmssl.akamaized.net//images/flagge/head/70.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/70.png?lm=1520611569
65,Ireland,https://tmssl.akamaized.net//images/flagge/head/72.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/72.png?lm=1520611569
66,Israel,https://tmssl.akamaized.net//images/flagge/head/74.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/74.png?lm=1520611569
67,Italy,https://tmssl.akamaized.net//images/flagge/head/75.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/75.png?lm=1520611569
68,Jamaica,https://tmssl.akamaized.net//images/flagge/head/76.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/76.png?lm=1520611569
69,Japan,https://tmssl.akamaized.net//images/flagge/head/77.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/77.png?lm=1520611569
70,Jordan,https://tmssl.akamaized.net//images/flagge/head/78.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/78.png?lm=1520611569
71,Kenya,https://tmssl.akamaized.net//images/flagge/head/82.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/82.png?lm=1520611569
72,"Korea, South",https://tmssl.akamaized.net//images/flagge/head/87.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/87.png?lm=1520611569
73,Kosovo,https://tmssl.akamaized.net//images/flagge/head/244.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/244.png?lm=1520611569
74,Latvia,https://tmssl.akamaized.net//images/flagge/head/92.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/92.png?lm=1520611569
75,Libya,https://tmssl.akamaized.net//images/flagge/head/96.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/96.png?lm=1520611569
76,Lithuania,https://tmssl.akamaized.net//images/flagge/head/98.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/98.png?lm=1520611569
77,Luxembourg,https://tmssl.akamaized.net//images/flagge/head/99.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/99.png?lm=1520611569
78,Madagascar,https://tmssl.akamaized.net//images/flagge/head/101.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/101.png?lm=1520611569
79,Mali,https://tmssl.akamaized.net//images/flagge/head/105.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/105.png?lm=1520611569
80,Malta,https://tmssl.akamaized.net//images/flagge/head/106.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/106.png?lm=1520611569
81,Martinique,https://tmssl.akamaized.net//images/flagge/head/207.png?lm=1699285669,https://tmssl.akamaized.net//images/flagge/small/207.png?lm=1699285669
82,Mexico,https://tmssl.akamaized.net//images/flagge/head/110.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/110.png?lm=1520611569
83,Moldova,https://tmssl.akamaized.net//images/flagge/head/112.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/112.png?lm=1520611569
84,Montenegro,https://tmssl.akamaized.net//images/flagge/head/216.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/216.png?lm=1520611569
85,Morocco,https://tmssl.akamaized.net//images/flagge/head/107.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/107.png?lm=1520611569
86,Mozambique,https://tmssl.akamaized.net//images/flagge/head/115.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/115.png?lm=1520611569
87,Namibia,https://tmssl.akamaized.net//images/flagge/head/117.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/117.png?lm=1520611569
88,Netherlands,https://tmssl.akamaized.net//images/flagge/head/122.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/122.png?lm=1520611569
89,New Zealand,https://tmssl.akamaized.net//images/flagge/head/120.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/120.png?lm=1520611569
90,Nigeria,https://tmssl.akamaized.net//images/flagge/head/124.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/124.png?lm=1520611569
91,North Macedonia,https://tmssl.akamaized.net//images/flagge/head/100.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/100.png?lm=1520611569
92,Northern Ireland,https://tmssl.akamaized.net//images/flagge/head/192.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/192.png?lm=1520611569
93,Norway,https://tmssl.akamaized.net//images/flagge/head/125.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/125.png?lm=1520611569
94,Panama,https://tmssl.akamaized.net//images/flagge/head/130.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/130.png?lm=1520611569
95,Paraguay,https://tmssl.akamaized.net//images/flagge/head/132.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/132.png?lm=1520611569
96,Peru,https://tmssl.akamaized.net//images/flagge/head/133.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/133.png?lm=1520611569
97,Poland,https://tmssl.akamaized.net//images/flagge/head/135.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/135.png?lm=1520611569
98,Portugal,https://tmssl.akamaized.net//images/flagge/head/136.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/136.png?lm=1520611569
99,Romania,https://tmssl.akamaized.net//images/flagge/head/140.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/140.png?lm=1520611569
100,Russia,https://tmssl.akamaized.net//images/flagge/head/141.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/141.png?lm=1520611569
101,Sao Tome and Principe,https://tmssl.akamaized.net//images/flagge/head/145.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/145.png?lm=1520611569
102,Scotland,https://tmssl.akamaized.net//images/flagge/head/190.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/190.png?lm=1520611569
103,Senegal,https://tmssl.akamaized.net//images/flagge/head/149.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/149.png?lm=1520611569
104,Serbia,https://tmssl.akamaized.net//images/flagge/head/215.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/215.png?lm=1520611569
105,Sierra Leone,https://tmssl.akamaized.net//images/flagge/head/152.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/152.png?lm=1520611569
106,Slovakia,https://tmssl.akamaized.net//images/flagge/head/154.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/154.png?lm=1520611569
107,Slovenia,https://tmssl.akamaized.net//images/flagge/head/155.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/155.png?lm=1520611569
108,South Africa,https://tmssl.akamaized.net//images/flagge/head/159.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/159.png?lm=1520611569
109,Spain,https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/157.png?lm=1520611569
110,St. Kitts & Nevis,https://tmssl.akamaized.net//images/flagge/head/225.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/225.png?lm=1520611569
111,St. Lucia,https://tmssl.akamaized.net//images/flagge/head/230.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/230.png?lm=1520611569
112,Suriname,https://tmssl.akamaized.net//images/flagge/head/161.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/161.png?lm=1520611569
113,Sweden,https://tmssl.akamaized.net//images/flagge/head/147.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/147.png?lm=1520611569
114,Switzerland,https://tmssl.akamaized.net//images/flagge/head/148.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/148.png?lm=1520611569
115,Syria,https://tmssl.akamaized.net//images/flagge/head/163.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/163.png?lm=1520611569
116,Tanzania,https://tmssl.akamaized.net//images/flagge/head/166.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/166.png?lm=1520611569
117,The Gambia,https://tmssl.akamaized.net//images/flagge/head/52.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/52.png?lm=1520611569
118,Togo,https://tmssl.akamaized.net//images/flagge/head/168.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/168.png?lm=1520611569
119,Trinidad and Tobago,https://tmssl.akamaized.net//images/flagge/head/170.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/170.png?lm=1520611569
120,Tunisia,https://tmssl.akamaized.net//images/flagge/head/173.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/173.png?lm=1520611569
121,TÃ¼rkiye,https://tmssl.akamaized.net//images/flagge/head/174.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/174.png?lm=1520611569
122,Uganda,https://tmssl.akamaized.net//images/flagge/head/176.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/176.png?lm=1520611569
123,Ukraine,https://tmssl.akamaized.net//images/flagge/head/177.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/177.png?lm=1520611569
124,United Arab Emirates,https://tmssl.akamaized.net//images/flagge/head/183.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/183.png?lm=1520611569
125,United States,https://tmssl.akamaized.net//images/flagge/head/184.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/184.png?lm=1520611569
126,Uruguay,https://tmssl.akamaized.net//images/flagge/head/179.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/179.png?lm=1520611569
127,Uzbekistan,https://tmssl.akamaized.net//images/flagge/head/180.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/180.png?lm=1520611569
128,Venezuela,https://tmssl.akamaized.net//images/flagge/head/182.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/182.png?lm=1520611569
129,Wales,https://tmssl.akamaized.net//images/flagge/head/191.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/191.png?lm=1520611569
130,Zambia,https://tmssl.akamaized.net//images/flagge/head/142.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/142.png?lm=1520611569
131,Zimbabwe,https://tmssl.akamaized.net//images/flagge/head/187.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/187.png?lm=1520611569
