team_id,team_name,team_crest_pic,team_data_url,league_id,league_name,league_nation,league_logo_pic
0,AFC Bournemouth,https://tmssl.akamaized.net//images/wappen/tiny/989.png?lm=1457991811,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
1,Arsenal FC,https://tmssl.akamaized.net//images/wappen/tiny/11.png?lm=1489787850,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
2,Aston Villa,https://tmssl.akamaized.net//images/wappen/tiny/405_1717155946.png?lm=1717155946,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
3,Brentford FC,https://tmssl.akamaized.net//images/wappen/tiny/1148.png?lm=1625150543,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
4,Brighton & Hove Albion,https://tmssl.akamaized.net//images/wappen/tiny/1237.png?lm=1492718902,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
5,Chelsea FC,https://tmssl.akamaized.net//images/wappen/tiny/631.png?lm=1682435911,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
6,Crystal Palace,https://tmssl.akamaized.net//images/wappen/tiny/873.png?lm=1457723287,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
7,Everton FC,https://tmssl.akamaized.net//images/wappen/tiny/29.png?lm=1445949846,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
8,Fulham FC,https://tmssl.akamaized.net//images/wappen/tiny/931.png?lm=1556831687,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
9,Ipswich Town,https://tmssl.akamaized.net//images/wappen/tiny/677.png?lm=1407655249,https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
10,Leicester City,https://tmssl.akamaized.net//images/wappen/tiny/1003.png?lm=1472229265,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
11,Liverpool FC,https://tmssl.akamaized.net//images/wappen/tiny/31_1727777132.png?lm=1727777132,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
12,Manchester City,https://tmssl.akamaized.net//images/wappen/tiny/281.png?lm=1467356331,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
13,Manchester United,https://tmssl.akamaized.net//images/wappen/tiny/985.png?lm=1457975903,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
14,Newcastle United,https://tmssl.akamaized.net//images/wappen/tiny/762.png?lm=1472921161,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
15,Nottingham Forest,https://tmssl.akamaized.net//images/wappen/tiny/703.png?lm=1598890289,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
16,Southampton FC,https://tmssl.akamaized.net//images/wappen/tiny/180.png?lm=1444560086,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
17,Tottenham Hotspur,https://tmssl.akamaized.net//images/wappen/tiny/148_1732012045.png?lm=1732012045,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
18,West Ham United,https://tmssl.akamaized.net//images/wappen/tiny/379.png?lm=1464675260,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
19,Wolverhampton Wanderers,https://tmssl.akamaized.net//images/wappen/tiny/543.png?lm=1467496784,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
20,Blackburn Rovers,https://tmssl.akamaized.net//images/wappen/tiny/164.png?lm=1495228542,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
21,Bristol City,https://tmssl.akamaized.net//images/wappen/tiny/698.png?lm=1571314125,https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
22,Burnley FC,https://tmssl.akamaized.net//images/wappen/tiny/1132.png?lm=1686818840,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
23,Cardiff City,https://tmssl.akamaized.net//images/wappen/tiny/603.png?lm=1478337063,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
24,Coventry City,https://tmssl.akamaized.net//images/wappen/tiny/990.png?lm=1684518179,https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
25,Derby County,https://tmssl.akamaized.net//images/wappen/tiny/22.png?lm=1407654006,https://www.transfermarkt.com/derby-county/startseite/verein/22/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
26,Hull City,https://tmssl.akamaized.net//images/wappen/tiny/3008.png?lm=1562662491,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
27,Leeds United,https://tmssl.akamaized.net//images/wappen/tiny/399.png?lm=1645652224,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
28,Luton Town,https://tmssl.akamaized.net//images/wappen/tiny/1031.png?lm=1457723228,https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
29,Middlesbrough FC,https://tmssl.akamaized.net//images/wappen/tiny/641.png?lm=1697546042,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
30,Millwall FC,https://tmssl.akamaized.net//images/wappen/tiny/1028.png?lm=1564722431,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
31,Norwich City,https://tmssl.akamaized.net//images/wappen/tiny/1123.png?lm=1655469640,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
32,Oxford United,https://tmssl.akamaized.net//images/wappen/tiny/988.png?lm=1522938199,https://www.transfermarkt.com/oxford-united/startseite/verein/988/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
33,Plymouth Argyle,https://tmssl.akamaized.net//images/wappen/tiny/2262.png?lm=1411464792,https://www.transfermarkt.com/plymouth-argyle/startseite/verein/2262/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
34,Portsmouth FC,https://tmssl.akamaized.net//images/wappen/tiny/1020.png?lm=1565282045,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
35,Preston North End,https://tmssl.akamaized.net//images/wappen/tiny/466.png?lm=1414769167,https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
36,Queens Park Rangers,https://tmssl.akamaized.net//images/wappen/tiny/1039.png?lm=1464680692,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
37,Sheffield United,https://tmssl.akamaized.net//images/wappen/tiny/350.png?lm=1409254138,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
38,Sheffield Wednesday,https://tmssl.akamaized.net//images/wappen/tiny/1035.png?lm=1643214896,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
39,Stoke City,https://tmssl.akamaized.net//images/wappen/tiny/512.png?lm=1472243727,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
40,Sunderland AFC,https://tmssl.akamaized.net//images/wappen/tiny/289.png?lm=1485645633,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
41,Swansea City,https://tmssl.akamaized.net//images/wappen/tiny/2288.png?lm=1658400285,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
42,Watford FC,https://tmssl.akamaized.net//images/wappen/tiny/1010.png?lm=1468103673,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
43,West Bromwich Albion,https://tmssl.akamaized.net//images/wappen/tiny/984.png?lm=1457991758,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2023,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
44,Athletic Bilbao,https://tmssl.akamaized.net//images/wappen/tiny/621.png?lm=1695069038,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
45,Atlético de Madrid,https://tmssl.akamaized.net//images/wappen/tiny/13_1719403662.png?lm=1719403663,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
46,CA Osasuna,https://tmssl.akamaized.net//images/wappen/tiny/331.png?lm=1686070937,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
47,CD Leganés,https://tmssl.akamaized.net//images/wappen/tiny/1244.png?lm=1422972468,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
48,Celta de Vigo,https://tmssl.akamaized.net//images/wappen/tiny/940.png?lm=1406966406,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
49,Deportivo Alavés,https://tmssl.akamaized.net//images/wappen/tiny/1108.png?lm=1596131395,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
50,FC Barcelona,https://tmssl.akamaized.net//images/wappen/tiny/131.png?lm=1406739548,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
51,Getafe CF,https://tmssl.akamaized.net//images/wappen/tiny/3709.png?lm=1408655116,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
52,Girona FC,https://tmssl.akamaized.net//images/wappen/tiny/12321.png?lm=1730455718,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
53,RCD Espanyol Barcelona,https://tmssl.akamaized.net//images/wappen/tiny/714.png?lm=1406966369,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
54,RCD Mallorca,https://tmssl.akamaized.net//images/wappen/tiny/237.png?lm=1407484750,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
55,Rayo Vallecano,https://tmssl.akamaized.net//images/wappen/tiny/367.png?lm=1653488445,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
56,Real Betis Balompié,https://tmssl.akamaized.net//images/wappen/tiny/150.png?lm=1663358526,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
57,Real Madrid,https://tmssl.akamaized.net//images/wappen/tiny/418.png?lm=1729684474,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
58,Real Sociedad,https://tmssl.akamaized.net//images/wappen/tiny/681.png?lm=1614795530,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
59,Real Valladolid CF,https://tmssl.akamaized.net//images/wappen/tiny/366.png?lm=1720163563,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
60,Sevilla FC,https://tmssl.akamaized.net//images/wappen/tiny/368.png?lm=1730896593,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
61,UD Las Palmas,https://tmssl.akamaized.net//images/wappen/tiny/472.png?lm=1407484865,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
62,Valencia CF,https://tmssl.akamaized.net//images/wappen/tiny/1049.png?lm=1406966320,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
63,Villarreal CF,https://tmssl.akamaized.net//images/wappen/tiny/1050.png?lm=1408655310,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2023,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
64,1.FC Heidenheim 1846,https://tmssl.akamaized.net//images/wappen/tiny/2036.png?lm=1685457789,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
65,1.FC Union Berlin,https://tmssl.akamaized.net//images/wappen/tiny/89.png?lm=1402956210,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
66,1.FSV Mainz 05,https://tmssl.akamaized.net//images/wappen/tiny/39.png?lm=1564748880,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
67,Bayer 04 Leverkusen,https://tmssl.akamaized.net//images/wappen/tiny/15.png?lm=1710156317,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
68,Bayern Munich,https://tmssl.akamaized.net//images/wappen/tiny/27_1498251266.png?lm=1498251266,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
69,Borussia Dortmund,https://tmssl.akamaized.net//images/wappen/tiny/16.png?lm=1396275280,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
70,Borussia Mönchengladbach,https://tmssl.akamaized.net//images/wappen/tiny/18.png?lm=1656585796,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
71,Eintracht Frankfurt,https://tmssl.akamaized.net//images/wappen/tiny/24.png?lm=1700074979,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
72,FC Augsburg,https://tmssl.akamaized.net//images/wappen/tiny/167.png?lm=1656582897,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
73,FC St. Pauli,https://tmssl.akamaized.net//images/wappen/tiny/35.png?lm=1521036360,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
74,Holstein Kiel,https://tmssl.akamaized.net//images/wappen/tiny/269.png?lm=1544480289,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
75,RB Leipzig,https://tmssl.akamaized.net//images/wappen/tiny/23826.png?lm=1619431624,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
76,SC Freiburg,https://tmssl.akamaized.net//images/wappen/tiny/60.png?lm=1517249279,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2023,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
